answer,question,funFact
1873,"In what year did inventor Levi Strauss secure his historic patent for adding copper rivets to denim work pants, inventing blue jeans?","Strauss partnered with a tailor named Jacob Davis, who had come up with the rivet trick after gold miners kept complaining that their pocket stitching ripped under the weight of heavy rock samples."
100,How many distinct sewing stitch patterns form the baseline database of a standard high-end electronic embroidery machine?,"The computer chips guide stepping motors to switch patterns instantly, scaling from basic utility utility lines to complex decorative rosettes and zig-zags."
60 inches [152.4 cm],"What is the standard width of a commercial bolt of fashion garment fabric, measured in inches?","While home-craft quilting fabrics are traditionally woven narrower at 45 inches, industrial garment textile looms standardize on 60 inches to maximize pattern cutting efficiency."
3,How many vertical stripes compose the iconic minimalist corporate trademark logo of the fashion house Gucci?,The classic green-red-green stripe combo was inspired by traditional equestrian girth straps used to anchor saddles to horses.
1947,"In what year did designer Christian Dior shock post-war Paris by debuting his controversial ""New Look"" fashion line?","The collection featured voluminous, long structured skirts that used yards of fabric, a radical and luxurious statement after years of tight wartime fabric rationing."
"2,500",How many individual silk cocoons must be boiled down and unraveled to yield just one single pound of pure raw silk thread?,The delicate thread from a single cocoon can unwind in a continuous strand stretching over a half-mile long.
300,"What is the traditional thread count number that serves as the entry floor threshold for a sheet set to call itself ""Premium""?",Thread count measures the number of horizontal and vertical threads woven into one square inch of fabric. Anything past 800 is usually a marketing trick using multi-ply threads spun together.
10,"How many total numbered buttons line the front closure of a classic, historically accurate military trench coat?","The double-breasted layout features two neat columns of 5 buttons, engineered to overlap tightly to shield soldiers from high winds and rain mud."
1926,"In what year did coco Chanel introduce the fashion world to the revolutionary ""Little Black Dress"" (*LBD*) via a sketch in Vogue?","Before this debut, black clothing was reserved strictly for periods of mourning. Chanel transformed it into a symbol of sleek, accessible high-fashion elegance."
4.8 thousand dollars,How many thousands of dollars did an anonymous bidder pay at auction for the iconic crystal-encrusted dress Marilyn Monroe wore to sing to JFK?,"Custom-dyed to match her skin tone exactly, the sheer dress was so tight that Monroe had to be literally sewn into it right before walking onto the Madison Square Garden stage."
45 degrees,"What is the standard angle degree cut of a fabric pattern piece to align it perfectly on the ""bias""?","Cutting woven fabric at a 45-degree angle to the long warp lines unlocks a natural fluid elasticity, letting garments drape elegantly over body curves without bunching."
